Time            	B2              	M6              	B3              	M1              	S0              	M5              	CH2O            	A1              	C2H4O           	C2              	C4              	A2              	E1              	M4              	C3              	E3              	M2              	E2              	B1              	M3              
2.7542287033e-12	5.1019970852e-03	1.8501403449e-20	2.4051696424e-11	2.8725678088e-17	6.1209922988e-06	1.2843249465e-11	0.0000000000e+00	7.7674199618e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	4.1795029137e-11	3.5964394373e-06	3.1930207518e-10	0.0000000000e+00	1.9408275297e-17	7.6077870687e-16	5.8638429399e-06	9.9488242124e-01	1.4761315899e-20
2.8183829313e-12	5.1319551459e-03	2.0209802266e-20	2.4208765818e-11	2.8747218502e-17	6.1207972204e-06	1.3675605523e-11	0.0000000000e+00	7.7572596359e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	4.3160498222e-11	3.5963083036e-06	3.3084450863e-10	0.0000000000e+00	1.9382884768e-17	7.8002875112e-16	5.8561717920e-06	9.9485247116e-01	1.5258569569e-20
2.8840315031e-12	5.1609640958e-03	2.2069743482e-20	2.4360859046e-11	2.8769232333e-17	6.1206081054e-06	1.4558017682e-11	0.0000000000e+00	7.7468766578e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	4.4562297047e-11	3.5961806481e-06	3.4271067364e-10	0.0000000000e+00	1.9356937613e-17	7.9970111776e-16	5.8483324730e-06	9.9482347036e-01	1.5767901875e-20
2.9512092267e-12	5.1890179010e-03	2.4094093047e-20	2.4507944473e-11	2.8791729326e-17	6.1204249900e-06	1.5493241405e-11	0.0000000000e+00	7.7362664851e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	4.6001032201e-11	3.5960564886e-06	3.5490588199e-10	0.0000000000e+00	1.9330422459e-17	8.1980445268e-16	5.8403215464e-06	9.9479542486e-01	1.6289500833e-20
3.0199517204e-12	5.2161123298e-03	2.6296757120e-20	2.4649999910e-11	2.8814719397e-17	6.1202478995e-06	1.6484168268e-11	0.0000000000e+00	7.7254244991e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	4.7477307877e-11	3.5959358359e-06	3.6743540756e-10	0.0000000000e+00	1.9303327736e-17	8.4034754964e-16	5.8321355172e-06	9.9476833889e-01	1.6823558174e-20
3.0902954325e-12	5.2422449742e-03	2.8692761615e-20	2.4787012734e-11	2.8838212633e-17	6.1200768471e-06	1.7533831848e-11	0.0000000000e+00	7.7143460040e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	4.8991725629e-11	3.5958186936e-06	3.8030448399e-10	0.0000000000e+00	1.9275641683e-17	8.6133935135e-16	5.8237708317e-06	9.9474221489e-01	1.7370269543e-20
3.1622776602e-12	5.2674152654e-03	3.1298337460e-20	2.4918979963e-11	2.8862219298e-17	6.1199118347e-06	1.8645413836e-11	0.0000000000e+00	7.7030262263e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	5.0544884150e-11	3.5957050578e-06	3.9351830263e-10	0.0000000000e+00	1.9247352341e-17	8.8278895054e-16	5.8152238768e-06	9.9471705341e-01	1.7929834701e-20
3.2359365693e-12	5.2916244803e-03	3.4131011939e-20	2.5045908290e-11	2.8886749825e-17	6.1197528520e-06	1.9822250370e-11	0.0000000000e+00	7.6914603147e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	5.2137379074e-11	3.5955949176e-06	4.0708201074e-10	0.0000000000e+00	1.9218447553e-17	9.0470559086e-16	5.8064909800e-06	9.9469285318e-01	1.8502457713e-20
3.3113112148e-12	5.3148757404e-03	3.7209706527e-20	2.5167814081e-11	2.8911814829e-17	6.1195998773e-06	2.1067838612e-11	0.0000000000e+00	7.6796433396e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	5.3769802803e-11	3.5954882544e-06	4.2100071002e-10	0.0000000000e+00	1.9188914967e-17	9.2709866779e-16	5.7975684087e-06	9.9466961108e-01	1.9088347134e-20
3.3884415614e-12	5.3371740022e-03	4.0554841641e-20	2.5284723324e-11	2.8937425098e-17	6.1194528769e-06	2.2385843569e-11	0.0000000000e+00	7.6675702930e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	5.5442744361e-11	3.5953850422e-06	4.3527945542e-10	0.0000000000e+00	1.9158742028e-17	9.4997772944e-16	5.7884523702e-06	9.9464732217e-01	1.9687716181e-20
3.4673685045e-12	5.3585260398e-03	4.4188448764e-20	2.5396671535e-11	2.8963591602e-17	6.1193118056e-06	2.3780105171e-11	0.0000000000e+00	7.6552360878e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	5.7156789266e-11	3.5952852481e-06	4.4992325422e-10	0.0000000000e+00	1.9127915984e-17	9.7335247717e-16	5.7791390114e-06	9.9462597967e-01	2.0300782891e-20
3.5481338923e-12	5.3789404180e-03	4.8134290423e-20	2.5503703619e-11	2.8990325488e-17	6.1191766066e-06	2.5254645610e-11	0.0000000000e+00	7.6426355582e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	5.8912519438e-11	3.5951888316e-06	4.6493706546e-10	0.0000000000e+00	1.9096423879e-17	9.9723276627e-16	5.7696244186e-06	9.9460557502e-01	2.0927770274e-20
3.6307805477e-12	5.3984274574e-03	5.2417988533e-20	2.5605873688e-11	2.9017638086e-17	6.1190472122e-06	2.6813676959e-11	0.0000000000e+00	7.6297634591e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	6.0710513118e-11	3.5950957454e-06	4.8032579962e-10	0.0000000000e+00	1.9064252559e-17	1.0216286064e-15	5.7599046172e-06	9.9458609790e-01	2.1568906446e-20
3.7153522910e-12	5.4169991915e-03	5.7067161642e-20	2.5703244830e-11	2.9045540907e-17	6.1189235434e-06	2.8461609069e-11	0.0000000000e+00	7.6166144666e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	6.2551344823e-11	3.5950059353e-06	4.9609431857e-10	0.0000000000e+00	1.9031388667e-17	1.0465501618e-15	5.7499755716e-06	9.9456753629e-01	2.2224424748e-20
3.8018939632e-12	5.4346693136e-03	6.2111571656e-20	2.5795888842e-11	2.9074045643e-17	6.1188055107e-06	3.0203057767e-11	0.0000000000e+00	7.6031831774e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	6.4435585312e-11	3.5949193403e-06	5.1224743583e-10	0.0000000000e+00	1.8997818645e-17	1.0720077518e-15	5.7398331856e-06	9.9454987650e-01	2.2894563855e-20
3.8904514499e-12	5.4514531178e-03	6.7583280657e-20	2.5883885909e-11	2.9103164172e-17	6.1186930145e-06	3.2042853356e-11	0.0000000000e+00	7.5894641094e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	6.6363801583e-11	3.5948358931e-06	5.2878991711e-10	0.0000000000e+00	1.8963528732e-17	1.0980118509e-15	5.7294733018e-06	9.9453310323e-01	2.3579567864e-20
3.9810717055e-12	5.4673674296e-03	7.3516818431e-20	2.5967324247e-11	2.9132908555e-17	6.1185859452e-06	3.3986049442e-11	0.0000000000e+00	7.5754517018e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	6.8336556875e-11	3.5947555203e-06	5.4572648096e-10	0.0000000000e+00	1.8928504965e-17	1.1245730884e-15	5.7188917018e-06	9.9451719966e-01	2.4279686364e-20
4.0738027780e-12	5.4824305308e-03	7.9949361424e-20	2.6046299707e-11	2.9163291037e-17	6.1184841840e-06	3.6037932074e-11	0.0000000000e+00	7.5611403152e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	7.0354410704e-11	3.5946781423e-06	5.6306179979e-10	0.0000000000e+00	1.8892733183e-17	1.1517022486e-15	5.7080841066e-06	9.9450214753e-01	2.4995174495e-20
4.1686938347e-12	5.4966620754e-03	8.6920923810e-20	2.6120915334e-11	2.9194324047e-17	6.1183876032e-06	3.8204029245e-11	0.0000000000e+00	7.5465242324e-18	0.0000000000e+00	2.5000000000e+00	2.5000000000e+00	7.2417918894e-11	3.5946036744e-06	5.8080050100e-10	0.0000000000e+00	1.8856199020e-17	1.1794102705e-15	5.6970461765e-06	9.9448792717e-01	2.5726292989e-20
